FORMULAS:
Actual_No                 = tn + fp
Actual_Yes                = fn + tp
Predicted_No              = tn + fn
Predicted_Yes             = fp + tp
Total                     = fp + fn + tn + tp
Accuracy                  = (tp + tn)/Total
Misclassification_Rate    = (fp + fn)/Total
True_Positive_Rate        = tp/Actual_Yes
False_Positive_Rate       = fp/Actual_No
Specificity               = tn/Actual_No
Precision                 = tp/Predicted_Yes
Prevalance                = Actual_Yes/Total


METRICS:
True Positive          : 0
True Negative          : 135
False Positive         : 0
False Negative         : 100
Accuracy               : 0.574468085106
Misclassification Rate : 0.425531914894
True Positive Rate     : 0.0
False Positive Rate    : 0.0
Specificity            : 1.0
Precision              : nan
Prevalence             : 0.425531914894
Precision Score        : 0.0
Recall Score           : 0.0
F1 Score               : 0.0
Cohen Kappa Score      : 0.0
No. of actual 0s       : 135
No. of predicted 0s    : 235
No. of actual 1s       : 100
No. of predicted 1s    : 0


CLASS LABELS:

S. No.      |      Actual  |   Predicted
84          |           0  |         [0]
85          |           0  |         [0]
86          |           0  |         [0]
87          |           0  |         [0]
88          |           1  |         [0]
89          |           0  |         [0]
90          |           0  |         [0]
91          |           1  |         [0]
92          |           1  |         [0]
93          |           0  |         [0]
94          |           0  |         [0]
95          |           0  |         [0]
96          |           0  |         [0]
97          |           0  |         [0]
98          |           0  |         [0]
99          |           0  |         [0]
100         |           0  |         [0]
101         |           0  |         [0]
102         |           1  |         [0]
103         |           0  |         [0]
104         |           0  |         [0]
105         |           0  |         [0]
106         |           1  |         [0]
107         |           0  |         [0]
108         |           0  |         [0]
109         |           1  |         [0]
110         |           0  |         [0]
111         |           0  |         [0]
112         |           1  |         [0]
113         |           1  |         [0]
114         |           0  |         [0]
115         |           0  |         [0]
116         |           1  |         [0]
117         |           0  |         [0]
118         |           0  |         [0]
119         |           1  |         [0]
120         |           1  |         [0]
121         |           0  |         [0]
122         |           1  |         [0]
123         |           0  |         [0]
124         |           1  |         [0]
125         |           0  |         [0]
126         |           0  |         [0]
127         |           0  |         [0]
128         |           0  |         [0]
129         |           0  |         [0]
130         |           0  |         [0]
131         |           1  |         [0]
132         |           0  |         [0]
133         |           1  |         [0]
134         |           1  |         [0]
135         |           1  |         [0]
136         |           0  |         [0]
137         |           0  |         [0]
138         |           1  |         [0]
139         |           1  |         [0]
140         |           0  |         [0]
141         |           1  |         [0]
142         |           0  |         [0]
143         |           0  |         [0]
144         |           0  |         [0]
145         |           1  |         [0]
146         |           1  |         [0]
147         |           1  |         [0]
148         |           0  |         [0]
149         |           1  |         [0]
150         |           1  |         [0]
151         |           0  |         [0]
152         |           0  |         [0]
153         |           1  |         [0]
154         |           0  |         [0]
155         |           1  |         [0]
156         |           0  |         [0]
157         |           0  |         [0]
158         |           1  |         [0]
159         |           1  |         [0]
160         |           1  |         [0]
161         |           0  |         [0]
162         |           1  |         [0]
163         |           1  |         [0]
164         |           1  |         [0]
165         |           0  |         [0]
166         |           0  |         [0]
167         |           0  |         [0]
168         |           0  |         [0]
169         |           1  |         [0]
170         |           0  |         [0]
171         |           0  |         [0]
172         |           1  |         [0]
173         |           0  |         [0]
174         |           0  |         [0]
175         |           1  |         [0]
176         |           0  |         [0]
177         |           0  |         [0]
178         |           0  |         [0]
179         |           0  |         [0]
180         |           1  |         [0]
181         |           1  |         [0]
182         |           0  |         [0]
183         |           0  |         [0]
184         |           0  |         [0]
185         |           0  |         [0]
186         |           0  |         [0]
187         |           1  |         [0]
188         |           0  |         [0]
189         |           0  |         [0]
190         |           0  |         [0]
191         |           0  |         [0]
192         |           0  |         [0]
193         |           0  |         [0]
194         |           0  |         [0]
195         |           1  |         [0]
196         |           1  |         [0]
197         |           0  |         [0]
198         |           1  |         [0]
199         |           0  |         [0]
200         |           1  |         [0]
201         |           1  |         [0]
202         |           1  |         [0]
203         |           0  |         [0]
204         |           1  |         [0]
205         |           1  |         [0]
206         |           0  |         [0]
207         |           1  |         [0]
208         |           0  |         [0]
209         |           1  |         [0]
210         |           1  |         [0]
211         |           1  |         [0]
212         |           0  |         [0]
213         |           0  |         [0]
214         |           1  |         [0]
215         |           1  |         [0]
216         |           0  |         [0]
217         |           0  |         [0]
218         |           1  |         [0]
219         |           1  |         [0]
220         |           0  |         [0]
221         |           0  |         [0]
222         |           1  |         [0]
223         |           1  |         [0]
224         |           0  |         [0]
225         |           0  |         [0]
226         |           0  |         [0]
227         |           1  |         [0]
228         |           0  |         [0]
229         |           1  |         [0]
230         |           1  |         [0]
231         |           1  |         [0]
232         |           1  |         [0]
233         |           0  |         [0]
234         |           0  |         [0]
235         |           0  |         [0]



